task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
hover,v3,random,238,0.0,309.8,0.0043,0.0608,0.0000,0.0150,4.0,167.5,0.278,0.712,0.010,295.6,1.037,0.0000
hover,reactive,random,238,0.0,322.1,8520.8711,21664.3486,18901.5470,0.9370,29.0,597.4,0.934,0.020,0.046,307.3,1.078,0.5502
hover,fixed20,random,238,0.0,336.4,15578.7409,33746.4868,30893.0758,0.9580,10.9,642.0,0.000,0.000,0.000,320.9,1.126,0.3433
hover,v3,random,238,0.2,290.7,0.1891,0.1982,0.1902,0.0250,5.0,118.5,0.580,0.416,0.004,277.3,0.973,0.0000
hover,reactive,random,238,0.2,296.2,17330.7494,40231.2681,35979.2127,0.9630,26.9,551.5,0.958,0.031,0.011,282.6,0.991,0.6802
hover,fixed20,random,238,0.2,314.0,15527.3336,34093.0842,30982.3115,0.9920,10.5,600.5,0.000,0.000,0.000,299.5,1.051,0.2055
step,v3,random,238,0.0,319.4,0.0155,0.2752,0.0006,0.0130,4.0,169.4,0.222,0.766,0.012,304.7,1.069,0.0000
step,reactive,random,238,0.0,312.3,16869.2512,37369.4345,34118.8717,0.9660,29.2,580.5,0.961,0.013,0.026,297.9,1.045,0.6360
step,fixed20,random,238,0.0,303.3,4571.5468,10192.0397,9215.7019,0.9760,9.9,582.9,0.000,0.000,0.000,289.4,1.015,0.1029
step,v3,random,238,0.2,303.7,0.1891,0.3705,0.1902,0.0260,5.0,127.0,0.516,0.480,0.004,289.7,1.017,0.0000
step,reactive,random,238,0.2,288.9,16796.7862,33379.5774,31439.7805,0.9610,26.9,538.1,0.969,0.024,0.007,275.6,0.967,0.4481
step,fixed20,random,238,0.2,327.9,18185.9297,40426.7537,36623.7380,0.9800,10.9,630.7,0.000,0.000,0.000,312.8,1.098,0.3434
circle,v3,random,238,0.0,315.5,0.1562,1.5757,0.0435,0.0160,4.1,88.6,0.976,0.019,0.005,301.0,1.056,0.0018
circle,reactive,random,238,0.0,313.4,11815.8744,22858.2227,21223.7129,0.9920,29.3,582.1,0.997,0.003,0.000,299.0,1.049,0.5742
circle,fixed20,random,238,0.0,297.7,8631.3819,18908.0246,17063.8513,0.9990,10.1,581.1,0.000,0.000,0.000,284.1,0.997,0.5331
circle,v3,random,238,0.2,325.0,0.2603,1.6972,0.1950,0.0210,5.1,104.8,0.972,0.023,0.005,310.1,1.088,0.0015
circle,reactive,random,238,0.2,316.1,18444.6205,42439.9975,38043.1785,0.9850,30.3,587.4,0.989,0.011,0.000,301.5,1.058,0.8972
circle,fixed20,random,238,0.2,316.9,3659.1512,8172.3633,7376.2326,1.0000,10.5,609.8,0.000,0.000,0.000,302.4,1.061,0.0000
fig8,v3,random,238,0.0,311.0,0.0488,0.4557,0.0527,0.0150,4.0,167.0,0.327,0.668,0.005,296.7,1.041,0.0000
fig8,reactive,random,238,0.0,312.9,13043.4666,31861.5036,28159.5478,0.9840,29.8,582.3,0.983,0.009,0.008,298.6,1.048,0.6449
fig8,fixed20,random,238,0.0,291.5,10239.5929,20984.4292,19503.9817,0.9980,9.7,568.3,0.000,0.000,0.000,278.1,0.976,0.1797
fig8,v3,random,238,0.2,316.1,0.1969,0.5069,0.1961,0.0200,5.0,107.8,0.970,0.025,0.005,301.6,1.058,0.0000
fig8,reactive,random,238,0.2,317.5,18511.5817,42341.0193,37992.6327,0.9900,29.5,591.3,0.994,0.005,0.001,302.9,1.063,0.7326
fig8,fixed20,random,238,0.2,324.7,13931.9422,31050.4601,28022.6988,0.9970,10.9,627.3,0.000,0.000,0.000,309.8,1.087,0.4907
hover,v3,periodic,238,0.0,393.1,0.0057,0.0647,0.0000,0.0270,4.0,170.6,0.196,0.800,0.004,313.7,1.101,0.0000
hover,reactive,periodic,238,0.0,369.9,0.0043,0.0608,0.0000,0.0570,4.0,241.7,0.191,0.020,0.789,295.2,1.036,0.0000
hover,fixed20,periodic,238,0.0,378.5,0.0114,0.0857,0.0008,0.2000,4.0,240.8,0.000,0.000,0.000,302.1,1.060,0.0000
hover,v3,periodic,238,0.2,350.0,0.8372,6.2620,0.9399,0.2050,5.4,106.4,0.991,0.005,0.004,279.3,0.980,0.0099
hover,reactive,periodic,238,0.2,344.2,5623.8851,13889.9557,12242.8241,0.8690,19.1,418.0,0.883,0.048,0.069,274.7,0.964,0.5579
hover,fixed20,periodic,238,0.2,359.4,3658.7781,8171.8632,7375.7322,1.0000,8.0,465.7,0.000,0.000,0.000,286.9,1.007,0.0000
step,v3,periodic,238,0.0,374.8,0.0163,0.2799,0.0004,0.0360,4.0,168.2,0.196,0.800,0.004,299.1,1.050,0.0000
step,reactive,periodic,238,0.0,380.4,0.0159,0.2803,0.0015,0.0380,4.0,242.6,0.191,0.020,0.789,303.6,1.065,0.0000
step,fixed20,periodic,238,0.0,371.1,0.0190,0.2803,0.0040,0.2000,4.0,242.8,0.000,0.000,0.000,296.2,1.039,0.0000
step,v3,periodic,238,0.2,372.0,153.9289,867.7084,388.9107,0.3720,11.4,126.9,0.990,0.006,0.004,296.9,1.042,0.1500
step,reactive,periodic,238,0.2,400.8,5566.9971,16098.4783,13466.5051,0.7900,20.2,483.8,0.844,0.050,0.106,319.9,1.122,0.4963
step,fixed20,periodic,238,0.2,390.5,3659.1508,8172.3632,7376.2322,1.0000,8.2,479.1,0.000,0.000,0.000,311.7,1.094,0.0000
circle,v3,periodic,238,0.0,387.6,0.2491,1.5757,0.0433,0.0400,4.1,88.4,0.990,0.006,0.004,309.4,1.086,0.0008
circle,reactive,periodic,238,0.0,387.6,4819.0841,11018.9627,9876.8117,0.9540,23.4,470.4,0.994,0.006,0.000,309.4,1.086,0.5500
circle,fixed20,periodic,238,0.0,370.5,5412.6304,13053.7363,11568.1416,0.9990,8.1,473.4,0.000,0.000,0.000,295.7,1.038,0.4056
circle,v3,periodic,238,0.2,368.8,13385.1095,32997.0902,29108.8611,0.9140,21.1,447.6,0.991,0.005,0.004,294.4,1.033,0.7494
circle,reactive,periodic,238,0.2,393.2,17888.5095,41619.1973,37221.4544,0.9720,24.1,478.0,0.996,0.004,0.000,313.8,1.101,0.7034
circle,fixed20,periodic,238,0.2,353.8,3659.1512,8172.3633,7376.2326,1.0000,7.9,465.4,0.000,0.000,0.000,282.4,0.991,0.0000
