task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
hover,fixed10,random,230,0.0,188.4,0.0039,0.0639,0.0000,0.0070,4.0,50.9,0.000,0.000,0.000,177.3,0.622,0.0000
hover,bsf,random,230,0.0,160.4,0.0034,0.0626,0.0000,0.2880,4.0,132.1,0.000,0.000,0.000,151.0,0.530,0.0000
hover,fixed10,random,230,0.2,159.1,0.1896,0.1982,0.1902,0.0210,5.0,61.4,0.000,0.000,0.000,149.7,0.525,0.0000
hover,bsf,random,230,0.2,164.0,0.1883,0.1962,0.1888,0.4740,5.0,159.9,0.000,0.000,0.000,154.3,0.542,0.0000
step,fixed10,random,230,0.0,159.3,0.0154,0.2746,0.0003,0.0120,4.0,51.2,0.000,0.000,0.000,149.9,0.526,0.0000
step,bsf,random,230,0.0,164.8,0.0156,0.2803,0.0003,0.2480,4.0,130.9,0.000,0.000,0.000,155.0,0.544,0.0000
step,fixed10,random,230,0.2,160.5,0.1898,0.3715,0.1902,0.0240,5.0,63.9,0.000,0.000,0.000,151.0,0.530,0.0000
step,bsf,random,230,0.2,161.4,0.1883,0.3648,0.1888,0.5150,5.0,161.8,0.000,0.000,0.000,151.9,0.533,0.0000
circle,fixed10,random,230,0.0,158.1,0.1136,1.6133,0.0426,0.0140,4.0,53.2,0.000,0.000,0.000,148.7,0.522,0.0019
circle,bsf,random,230,0.0,158.3,0.1041,1.6011,0.0476,0.3250,4.1,133.0,0.000,0.000,0.000,149.0,0.523,0.0013
circle,fixed10,random,230,0.2,159.9,0.2346,1.6150,0.2000,0.0230,5.1,62.1,0.000,0.000,0.000,150.5,0.528,0.0033
circle,bsf,random,230,0.2,162.1,0.2198,1.6053,0.1949,0.5340,5.1,163.4,0.000,0.000,0.000,152.5,0.535,0.0023
fig8,fixed10,random,230,0.0,159.4,0.0444,0.4593,0.0484,0.0140,4.0,53.6,0.000,0.000,0.000,150.0,0.526,0.0000
fig8,bsf,random,230,0.0,158.3,0.0448,0.4416,0.0540,0.3050,4.0,132.2,0.000,0.000,0.000,148.9,0.523,0.0000
fig8,fixed10,random,230,0.2,159.7,0.1957,0.4750,0.1961,0.0240,5.0,63.2,0.000,0.000,0.000,150.3,0.527,0.0000
