trace,method,beat,budget_ms,solve_ms,timeout,iter,gear,err
traceA,fixed20,0,210.2,1917.2,1,7,,1.6133
traceA,fixed20,1,210.2,236.3,1,8,,1.6108
traceA,fixed20,2,209.5,234.5,1,8,,1.6084
traceA,fixed20,3,210.2,231.0,1,8,,1.6060
traceA,fixed20,4,210.2,230.3,1,8,,1.6035
traceA,fixed20,5,210.2,232.7,1,8,,1.6011
traceA,fixed20,6,197.8,231.3,1,8,,1.5987
traceA,fixed20,7,210.0,231.9,1,8,,1.5962
traceA,fixed20,8,209.6,229.6,1,8,,1.5938
traceA,fixed20,9,210.1,231.4,1,8,,1.5915
traceA,fixed20,10,209.5,230.1,1,8,,1.5891
traceA,fixed20,11,210.0,229.5,1,8,,1.5868
traceA,fixed20,12,210.1,230.1,1,8,,1.5845
traceA,fixed20,13,210.1,230.2,1,8,,1.5823
traceA,fixed20,14,210.0,229.9,1,8,,1.5801
traceA,fixed20,15,209.3,229.6,1,8,,1.5780
traceA,fixed20,16,210.0,229.7,1,8,,1.5759
traceA,fixed20,17,209.3,229.7,1,8,,1.5739
traceA,fixed20,18,210.1,230.5,1,8,,1.5720
traceA,fixed20,19,209.6,229.3,1,8,,1.5701
traceA,fixed20,20,199.6,230.7,1,8,,1.5683
traceA,fixed20,21,209.1,230.3,1,8,,1.5666
traceA,fixed20,22,210.0,230.0,1,8,,1.5650
traceA,fixed20,23,210.0,229.9,1,8,,1.5635
traceA,fixed20,24,210.0,230.1,1,8,,1.5620
traceA,fixed20,25,208.4,229.2,1,8,,1.5607
traceA,fixed20,26,210.0,229.8,1,8,,1.5595
traceA,fixed20,27,210.0,232.1,1,8,,1.5583
traceA,fixed20,28,198.6,230.5,1,8,,1.5573
traceA,fixed20,29,210.1,230.8,1,8,,1.5564
traceA,fixed20,30,210.0,231.6,1,8,,1.5556
traceA,fixed20,31,210.0,229.8,1,8,,1.5549
traceA,fixed20,32,209.2,229.4,1,8,,1.5543
traceA,fixed20,33,207.6,229.6,1,8,,1.5538
traceA,fixed20,34,210.0,228.8,1,8,,1.5535
traceA,fixed20,35,206.3,230.5,1,8,,1.5533
traceA,fixed20,36,210.0,231.2,1,8,,1.5532
traceA,fixed20,37,210.1,229.3,1,8,,1.5532
traceA,fixed20,38,210.0,230.1,1,8,,1.5533
traceA,fixed20,39,210.1,230.4,1,8,,1.5536
traceA,fixed20,40,210.0,230.1,1,8,,1.5540
traceA,fixed20,41,208.0,230.7,1,8,,1.5545
traceA,fixed20,42,210.0,231.3,1,8,,1.5551
traceA,fixed20,43,209.9,230.4,1,8,,1.5558
traceA,fixed20,44,210.0,235.0,1,8,,1.5567
traceA,fixed20,45,209.7,230.6,1,8,,1.5577
traceA,fixed20,46,210.0,230.4,1,8,,1.5588
traceA,fixed20,47,210.1,229.8,1,8,,1.5600
traceA,fixed20,48,209.9,230.3,1,8,,1.5613
traceA,fixed20,49,210.1,232.7,1,8,,1.5628
traceA,fixed20,50,208.9,229.1,1,8,,1.5643
traceA,fixed20,51,210.1,229.4,1,8,,1.5659
traceA,fixed20,52,210.0,229.7,1,8,,1.5677
traceA,fixed20,53,209.1,229.9,1,8,,1.5695
traceA,fixed20,54,210.0,230.2,1,8,,1.5715
traceA,fixed20,55,204.6,229.9,1,8,,1.5735
traceA,fixed20,56,209.9,229.4,1,8,,1.5756
traceA,fixed20,57,206.1,231.3,1,8,,1.5778
traceA,fixed20,58,210.0,230.1,1,8,,1.5801
traceA,fixed20,59,210.0,230.3,1,8,,1.5824
traceA,fixed20,60,209.1,228.6,1,8,,1.5849
traceA,fixed20,61,209.8,229.4,1,8,,1.5873
traceA,fixed20,62,171.8,230.0,1,8,,1.5899
traceA,fixed20,63,210.0,229.8,1,8,,1.5925
traceA,fixed20,64,210.2,229.5,1,8,,1.5951
traceA,fixed20,65,210.2,229.9,1,8,,1.5978
traceA,fixed20,66,210.2,230.1,1,8,,1.6005
traceA,fixed20,67,208.7,230.6,1,8,,1.6033
traceA,fixed20,68,210.2,229.6,1,8,,1.6061
traceA,fixed20,69,210.2,229.6,1,8,,1.6089
traceA,fixed20,70,210.2,229.1,1,8,,1.6117
traceA,fixed20,71,210.2,230.2,1,8,,1.6146
traceA,fixed20,72,209.2,229.9,1,8,,1.6174
traceA,fixed20,73,209.8,229.7,1,8,,1.6202
traceA,fixed20,74,210.2,229.5,1,8,,1.6231
traceA,fixed20,75,210.2,230.4,1,8,,1.6259
traceA,fixed20,76,210.1,229.6,1,8,,1.6287
traceA,fixed20,77,210.2,230.3,1,8,,1.6315
traceA,fixed20,78,210.1,228.8,1,8,,1.6342
traceA,fixed20,79,210.2,229.0,1,8,,1.6369
traceA,fixed20,80,210.2,228.8,1,8,,1.6396
traceA,fixed20,81,209.7,229.0,1,8,,1.6422
traceA,fixed20,82,208.0,233.0,1,8,,1.6448
traceA,fixed20,83,209.2,227.7,1,8,,1.6473
traceA,fixed20,84,210.2,230.9,1,8,,1.6497
traceA,fixed20,85,210.2,231.0,1,8,,1.6521
traceA,fixed20,86,210.1,229.3,1,8,,1.6543
traceA,fixed20,87,208.7,227.5,1,8,,1.6565
traceA,fixed20,88,210.2,228.2,1,8,,1.6587
traceA,fixed20,89,210.2,227.6,1,8,,1.6607
traceA,fixed20,90,210.1,227.4,1,8,,1.6626
traceA,fixed20,91,210.2,228.0,1,8,,1.6644
traceA,fixed20,92,210.2,229.2,1,8,,1.6661
traceA,fixed20,93,209.5,231.6,1,8,,1.6677
traceA,fixed20,94,210.0,228.4,1,8,,1.6692
traceA,fixed20,95,208.8,228.9,1,8,,1.6705
traceA,fixed20,96,210.1,229.0,1,8,,1.6717
traceA,fixed20,97,210.0,229.1,1,8,,1.6728
traceA,fixed20,98,187.4,229.2,1,8,,1.6738
traceA,fixed20,99,210.1,229.7,1,8,,1.6746
traceA,fixed20,100,209.5,229.8,1,8,,1.6752
traceA,fixed20,101,210.1,230.3,1,8,,1.6757
traceA,fixed20,102,210.0,229.5,1,8,,1.6761
traceA,fixed20,103,209.3,231.0,1,8,,1.6763
traceA,fixed20,104,210.1,230.0,1,8,,1.6763
traceA,fixed20,105,209.8,229.8,1,8,,1.6762
traceA,fixed20,106,210.0,232.8,1,8,,1.6759
traceA,fixed20,107,210.0,231.7,1,8,,1.6754
traceA,fixed20,108,210.0,229.4,1,8,,1.6747
traceA,fixed20,109,210.1,230.3,1,8,,1.6739
traceA,fixed20,110,209.6,229.9,1,8,,1.6729
traceA,fixed20,111,209.4,228.7,1,8,,1.6717
traceA,fixed20,112,210.0,229.8,1,8,,1.6703
traceA,fixed20,113,210.1,229.5,1,8,,1.6688
traceA,fixed20,114,210.1,229.8,1,8,,1.6670
traceA,fixed20,115,208.6,232.0,1,8,,1.6650
traceA,fixed20,116,209.3,229.5,1,8,,1.6629
traceA,fixed20,117,210.1,229.0,1,8,,1.6606
traceA,fixed20,118,210.0,230.0,1,8,,1.6580
traceA,fixed20,119,210.1,230.6,1,8,,1.6553
traceA,fixed20,120,210.1,229.5,1,8,,1.6524
traceA,fixed20,121,209.9,230.7,1,8,,1.6492
traceA,fixed20,122,208.4,229.6,1,8,,1.6459
traceA,fixed20,123,210.1,230.7,1,8,,1.6424
traceA,fixed20,124,209.8,231.9,1,8,,1.6387
traceA,fixed20,125,202.5,234.5,1,8,,1.6347
traceA,fixed20,126,190.3,230.5,1,8,,1.6306
traceA,fixed20,127,209.7,230.6,1,8,,1.6263
traceA,fixed20,128,209.5,229.6,1,8,,1.6218
traceA,fixed20,129,209.9,229.8,1,8,,1.6171
traceA,fixed20,130,209.5,230.7,1,8,,1.6121
traceA,fixed20,131,210.1,230.1,1,8,,1.6070
traceA,fixed20,132,209.2,229.8,1,8,,1.6017
traceA,fixed20,133,208.0,229.9,1,8,,1.5962
traceA,fixed20,134,210.0,230.0,1,8,,1.5906
traceA,fixed20,135,202.1,230.0,1,8,,1.5847
traceA,fixed20,136,210.0,230.1,1,8,,1.5787
traceA,fixed20,137,210.0,232.7,1,8,,1.5724
traceA,fixed20,138,210.1,230.9,1,8,,1.5660
traceA,fixed20,139,210.1,230.6,1,8,,1.5595
traceA,fixed20,140,209.8,230.6,1,8,,1.5527
traceA,fixed20,141,210.1,229.9,1,8,,1.5458
traceA,fixed20,142,210.0,230.1,1,8,,1.5388
traceA,fixed20,143,210.1,230.5,1,8,,1.5315
traceA,fixed20,144,207.8,231.8,1,8,,1.5242
traceA,fixed20,145,206.7,230.4,1,8,,1.5166
traceA,fixed20,146,210.2,230.1,1,8,,1.5090
traceA,fixed20,147,208.9,229.6,1,8,,1.5012
traceA,fixed20,148,210.0,230.9,1,8,,1.4933
traceA,fixed20,149,210.0,230.1,1,8,,1.4852
traceA,fixed20,150,209.2,229.7,1,8,,1.4770
traceA,fixed20,151,210.1,230.4,1,8,,1.4688
traceA,fixed20,152,210.0,229.9,1,8,,1.4604
traceA,fixed20,153,210.1,232.0,1,8,,1.4519
traceA,fixed20,154,207.4,234.6,1,8,,1.4434
traceA,fixed20,155,208.8,232.8,1,8,,1.4348
traceA,fixed20,156,209.4,232.5,1,8,,1.4261
traceA,fixed20,157,210.1,232.0,1,8,,1.4173
traceA,fixed20,158,210.0,203.9,0,7,,1.4030
traceA,fixed20,159,210.0,232.3,1,8,,1.3281
traceA,fixed20,160,208.1,234.6,1,8,,1.1580
traceA,fixed20,161,210.1,233.9,1,8,,0.9466
traceA,fixed20,162,197.8,235.9,1,8,,0.8401
traceA,fixed20,163,210.1,236.3,1,8,,1.0435
traceA,fixed20,164,210.2,233.1,1,8,,1.5697
traceA,fixed20,165,210.2,234.0,1,8,,2.3075
traceA,fixed20,166,202.5,233.8,1,8,,3.1936
traceA,fixed20,167,209.4,233.8,1,8,,4.2251
traceA,fixed20,168,210.2,236.9,1,8,,5.3720
traceA,fixed20,169,210.2,233.4,1,8,,6.6536
traceA,fixed20,170,210.2,237.7,1,8,,8.0514
traceA,fixed20,171,210.2,232.6,1,8,,9.5669
traceA,fixed20,172,200.1,235.1,1,8,,11.1996
traceA,fixed20,173,209.3,237.3,1,8,,12.9419
traceA,fixed20,174,210.2,235.2,1,8,,14.8088
traceA,fixed20,175,210.2,238.1,1,8,,16.7830
traceA,fixed20,176,210.2,233.3,1,8,,18.8824
traceA,fixed20,177,210.2,236.2,1,8,,21.0964
traceA,fixed20,178,210.2,233.8,1,8,,23.4235
traceA,fixed20,179,210.2,236.0,1,8,,25.8669
traceA,fixed20,180,210.2,236.2,1,8,,28.4169
traceA,fixed20,181,208.8,233.5,1,8,,31.0892
traceA,fixed20,182,209.8,235.3,1,8,,33.8680
traceA,fixed20,183,209.5,232.2,1,8,,36.7677
traceA,fixed20,184,208.3,232.6,1,8,,39.7824
traceA,fixed20,185,210.2,232.7,1,8,,42.9068
traceA,fixed20,186,210.2,232.5,1,8,,46.1471
traceA,fixed20,187,208.1,232.2,1,8,,49.4913
traceA,fixed20,188,210.2,232.1,1,8,,52.9552
traceA,fixed20,189,210.2,231.5,1,8,,56.5248
traceA,fixed20,190,210.2,232.3,1,8,,60.2107
traceA,fixed20,191,210.2,231.0,1,8,,64.0116
traceA,fixed20,192,208.7,233.0,1,8,,67.9184
traceA,fixed20,193,210.0,233.2,1,8,,71.9399
traceA,fixed20,194,210.2,231.9,1,8,,76.0626
traceA,fixed20,195,209.6,233.9,1,8,,80.3016
traceA,fixed20,196,210.2,232.8,1,8,,84.6451
traceA,fixed20,197,208.9,231.6,1,8,,89.0998
traceA,fixed20,198,210.2,231.9,1,8,,93.6687
traceA,fixed20,199,210.2,234.4,1,8,,98.3398
traceA,fixed20,200,210.2,232.1,1,8,,103.1232
traceA,fixed20,201,210.0,231.2,1,8,,108.0052
traceA,fixed20,202,208.8,233.9,1,8,,112.9989
traceA,fixed20,203,209.3,230.5,1,8,,118.0959
traceA,fixed20,204,209.9,231.0,1,8,,123.2985
traceA,fixed20,205,209.9,231.1,1,8,,128.6137
traceA,fixed20,206,209.6,230.9,1,8,,134.0272
traceA,fixed20,207,209.7,230.2,1,8,,139.5496
traceA,fixed20,208,208.9,229.8,1,8,,145.1679
traceA,fixed20,209,208.2,229.3,1,8,,150.8927
traceA,fixed20,210,207.6,230.2,1,8,,156.7192
traceA,fixed20,211,209.9,229.9,1,8,,162.6453
traceA,fixed20,212,209.9,231.2,1,8,,168.6814
traceA,fixed20,213,210.0,230.4,1,8,,174.8121
traceA,fixed20,214,206.4,230.1,1,8,,181.0473
traceA,fixed20,215,210.0,231.7,1,8,,187.3758
traceA,fixed20,216,209.9,229.9,1,8,,193.8046
traceA,fixed20,217,202.5,230.7,1,8,,200.3331
traceA,fixed20,218,210.0,231.0,1,8,,206.9553
traceA,fixed20,219,209.9,231.0,1,8,,213.6837
traceA,fixed20,220,207.5,230.3,1,8,,220.5030
traceA,fixed20,221,209.7,231.7,1,8,,227.4216
traceA,fixed20,222,210.0,231.5,1,8,,234.4307
traceA,fixed20,223,209.9,231.0,1,8,,241.5337
traceA,fixed20,224,210.0,234.1,1,8,,248.7336
traceA,fixed20,225,209.4,231.1,1,8,,256.0211
traceA,fixed20,226,209.9,232.0,1,8,,263.4102
traceA,fixed20,227,210.0,231.5,1,8,,270.8867
traceA,fixed20,228,209.9,231.7,1,8,,278.4563
traceA,fixed20,229,210.0,232.0,1,8,,286.1136
traceA,fixed20,230,209.1,233.1,1,8,,293.8578
traceA,fixed20,231,209.9,233.9,1,8,,301.6955
traceA,fixed20,232,207.9,231.8,1,8,,309.6151
traceA,fixed20,233,208.3,234.9,1,8,,317.6305
traceA,fixed20,234,210.0,231.7,1,8,,325.7297
traceA,fixed20,235,210.0,235.0,1,7,,333.9154
traceA,fixed20,236,209.9,231.3,1,8,,342.1855
traceA,fixed20,237,209.9,231.0,1,8,,350.5355
