task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
circle,fixed20,traceA,230,0.0,208.7,6132.6701,14205.1742,12621.5787,0.9990,8.0,231.6,0.000,0.000,0.000,141.5,0.496,0.4983
circle,bsf,traceA,230,0.0,207.2,0.1038,1.6012,0.0476,0.0130,4.1,122.0,0.000,0.000,0.000,140.4,0.493,0.0013
circle,v3,traceA,230,0.0,207.0,19515.6752,44512.7235,40001.2280,0.9920,19.8,217.3,0.993,0.004,0.003,140.3,0.492,0.7331
circle,fixed20,traceB,230,0.0,83.9,1.9658,3.4235,3.1862,1.0000,6.0,175.5,0.000,0.000,0.000,141.0,0.495,0.0000
circle,bsf,traceB,230,0.0,84.5,0.1080,1.6022,0.0477,0.9980,4.1,121.6,0.000,0.000,0.000,142.0,0.498,0.0011
circle,v3,traceB,230,0.0,83.8,11768.8609,20969.7994,19548.5662,0.9990,14.9,165.3,0.995,0.003,0.002,140.8,0.494,0.6013
circle,fixed20,traceC,230,0.0,52.3,1.9658,3.4235,3.1862,1.0000,2.0,68.3,0.000,0.000,0.000,141.0,0.495,0.0000
circle,bsf,traceC,230,0.0,52.3,0.3902,3.4645,0.1749,1.0000,2.1,68.0,0.000,0.000,0.000,141.0,0.495,0.0040
circle,v3,traceC,230,0.0,52.3,1.9658,3.4235,3.1862,1.0000,6.0,69.6,0.996,0.002,0.002,141.0,0.495,0.0000
circle,fixed20,traceD,230,0.0,34.3,1.9646,3.4235,3.1862,0.9990,7.6,228.1,0.000,0.000,0.000,140.9,0.495,0.0019
circle,bsf,traceD,230,0.0,34.3,0.1038,1.6012,0.0476,0.9950,4.1,121.4,0.000,0.000,0.000,141.0,0.495,0.0013
circle,v3,traceD,230,0.0,34.4,1.9646,3.4235,3.1862,0.9980,8.7,100.9,0.993,0.004,0.003,141.4,0.496,0.0019
circle,fixed20,traceE,230,0.0,141.6,6132.6701,14205.1742,12621.5787,0.9990,8.0,234.8,0.000,0.000,0.000,141.3,0.496,0.4983
circle,bsf,traceE,230,0.0,141.4,0.1038,1.6012,0.0476,0.4850,4.1,121.5,0.000,0.000,0.000,141.1,0.495,0.0013
circle,v3,traceE,230,0.0,141.5,10205.0667,22818.9098,20590.3851,0.9980,19.9,217.9,0.994,0.003,0.003,141.3,0.496,0.6989
circle,fixed20,traceF,230,0.0,104.4,1.9658,3.4235,3.1862,1.0000,6.4,175.6,0.000,0.000,0.000,140.5,0.493,0.0000
circle,bsf,traceF,230,0.0,105.5,0.1058,1.6022,0.0476,0.9980,4.1,121.4,0.000,0.000,0.000,141.9,0.498,0.0011
circle,v3,traceF,230,0.0,105.1,11768.8609,20969.7994,19548.5662,0.9990,16.0,175.6,0.994,0.003,0.003,141.3,0.496,0.6013
