# recorded=2026-09-18T16:51:18+0800
# uname=Linux iZ0jl59glej0v8rv680qyqZ 6.8.0-137-generic #137-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 17 20:28:23 UTC 2026 x86_64 x86_64
# python=3.11.15 cpu_count=4
# workers=5 period_s=0.1 beats=1050
beat,wall_ms,cpu_ms,duty,units
0,100.000,91.446,0.91446,64.012
1,100.000,99.314,0.99314,69.520
2,100.000,99.874,0.99873,69.911
3,100.000,88.790,0.88790,62.153
4,100.000,98.747,0.98747,69.123
5,100.000,99.883,0.99883,69.918
6,100.000,98.927,0.98927,69.249
7,100.000,99.822,0.99822,69.875
8,100.000,99.268,0.99268,69.488
9,100.000,99.914,0.99914,69.940
10,100.000,99.920,0.99920,69.944
11,100.000,99.930,0.99930,69.951
12,100.000,98.808,0.98808,69.165
13,100.000,89.874,0.89874,62.911
14,100.000,96.869,0.96869,67.808
15,100.008,99.016,0.99008,69.306
16,100.000,98.612,0.98612,69.028
17,100.000,99.418,0.99418,69.593
18,100.000,99.481,0.99481,69.637
19,100.000,99.598,0.99598,69.718
20,100.000,99.930,0.99930,69.951
21,100.000,99.894,0.99894,69.926
22,100.000,99.969,0.99968,69.978
23,100.000,99.889,0.99889,69.922
24,100.000,99.929,0.99928,69.950
25,100.000,99.950,0.99950,69.965
26,100.000,99.977,0.99977,69.984
27,100.000,99.624,0.99624,69.737
28,100.000,99.982,0.99982,69.988
29,100.000,99.979,0.99979,69.985
30,100.000,99.978,0.99978,69.984
31,100.003,94.057,0.94054,65.838
32,100.000,99.882,0.99882,69.917
33,100.000,99.694,0.99694,69.786
34,100.000,99.894,0.99894,69.926
35,100.000,99.630,0.99630,69.741
36,100.000,99.884,0.99884,69.919
37,100.000,99.904,0.99904,69.933
38,100.000,99.922,0.99922,69.945
39,100.000,99.882,0.99881,69.917
40,100.000,99.553,0.99553,69.687
41,100.000,99.869,0.99869,69.909
42,100.000,99.553,0.99553,69.687
43,100.000,99.893,0.99893,69.925
44,100.000,99.662,0.99662,69.763
45,100.000,94.941,0.94941,66.459
46,100.000,99.435,0.99435,69.604
47,100.000,99.846,0.99846,69.893
48,100.000,99.847,0.99846,69.892
49,100.000,99.879,0.99879,69.915
50,100.000,99.107,0.99107,69.375
51,100.000,99.855,0.99855,69.898
52,100.000,99.861,0.99861,69.902
53,100.000,94.445,0.94445,66.111
54,100.000,99.891,0.99891,69.924
55,100.000,99.866,0.99866,69.906
56,100.000,99.887,0.99886,69.921
57,100.000,99.509,0.99509,69.657
58,100.000,98.730,0.98730,69.111
59,100.000,99.887,0.99887,69.921
60,100.000,98.126,0.98126,68.688
61,100.000,99.870,0.99870,69.909
62,100.000,99.911,0.99911,69.938
63,100.000,99.862,0.99862,69.904
64,100.000,99.912,0.99912,69.938
65,100.000,99.851,0.99851,69.896
66,100.000,98.932,0.98932,69.253
67,100.000,99.867,0.99867,69.907
68,100.000,99.838,0.99838,69.886
69,100.000,99.881,0.99881,69.916
70,100.000,99.728,0.99728,69.810
71,100.000,99.889,0.99888,69.922
72,100.000,99.911,0.99911,69.938
73,100.000,99.822,0.99822,69.875
74,100.000,99.893,0.99893,69.925
75,100.000,99.340,0.99340,69.538
76,100.000,99.904,0.99904,69.933
77,100.000,99.887,0.99887,69.921
78,100.000,99.455,0.99455,69.619
79,100.000,99.888,0.99888,69.922
80,100.000,97.292,0.97292,68.104
81,100.000,99.829,0.99829,69.880
82,100.000,97.996,0.97996,68.597
83,100.000,99.845,0.99845,69.892
84,100.000,99.869,0.99869,69.908
85,100.000,99.446,0.99446,69.612
86,100.000,99.764,0.99764,69.835
87,100.000,81.724,0.81724,57.207
88,100.000,99.848,0.99848,69.894
89,100.000,99.968,0.99967,69.977
90,100.000,99.972,0.99972,69.980
91,100.000,99.954,0.99954,69.968
92,100.000,99.252,0.99252,69.476
93,100.000,99.963,0.99963,69.974
94,100.000,99.954,0.99953,69.967
95,100.000,99.965,0.99965,69.976
96,100.000,99.950,0.99950,69.965
97,100.000,99.472,0.99472,69.630
98,100.000,99.767,0.99767,69.837
99,100.000,99.966,0.99966,69.976
100,100.000,99.962,0.99961,69.973
101,100.000,99.936,0.99936,69.955
102,100.000,99.964,0.99963,69.974
103,100.000,99.929,0.99929,69.950
104,100.000,99.961,0.99961,69.972
105,100.000,99.964,0.99964,69.975
106,100.000,99.732,0.99732,69.812
107,100.000,98.931,0.98931,69.251
108,100.000,99.489,0.99489,69.643
109,100.000,99.944,0.99944,69.961
110,100.000,99.974,0.99974,69.982
111,100.000,99.922,0.99922,69.946
112,100.000,99.226,0.99226,69.458
113,100.000,99.942,0.99942,69.959
114,100.000,99.969,0.99969,69.978
115,100.000,99.900,0.99900,69.930
116,100.000,99.972,0.99972,69.980
117,100.000,99.962,0.99962,69.973
118,100.000,99.646,0.99646,69.752
119,100.000,99.857,0.99857,69.900
120,100.000,99.279,0.99279,69.495
121,100.000,99.897,0.99897,69.928
122,100.001,99.877,0.99876,69.913
123,100.000,89.127,0.89127,62.389
124,100.000,99.903,0.99903,69.932
125,100.000,99.624,0.99623,69.736
126,100.000,99.894,0.99893,69.925
127,100.001,99.851,0.99851,69.895
128,100.000,99.551,0.99551,69.686
129,100.000,99.898,0.99898,69.929
130,100.000,99.794,0.99794,69.856
131,100.000,99.870,0.99870,69.909
132,100.000,99.854,0.99854,69.898
133,100.000,99.885,0.99885,69.920
134,100.000,99.919,0.99919,69.944
135,100.000,99.676,0.99676,69.773
136,100.000,99.592,0.99592,69.714
137,100.000,99.885,0.99885,69.919
138,100.000,99.900,0.99900,69.930
139,100.000,99.917,0.99917,69.942
140,100.000,99.198,0.99198,69.438
141,100.000,99.540,0.99540,69.678
142,100.000,99.910,0.99910,69.937
143,100.000,99.881,0.99881,69.917
144,100.000,99.908,0.99908,69.935
145,100.000,99.904,0.99904,69.933
146,100.000,99.800,0.99800,69.860
147,100.000,99.104,0.99104,69.373
148,100.000,99.900,0.99900,69.930
149,100.000,99.790,0.99790,69.853
