# recorded=2026-09-18T17:19:56+0800
# uname=Linux iZ0jl59glej0v8rv680qyqZ 6.8.0-137-generic #137-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 17 20:28:23 UTC 2026 x86_64 x86_64
# python=3.11.15 cpu_count=4
# workers=9 period_s=0.1 beats=1050
beat,wall_ms,cpu_ms,duty,units
0,100.000,33.924,0.33924,23.747
1,100.000,41.492,0.41492,29.044
2,105.993,42.829,0.40408,28.285
3,105.000,34.663,0.33013,23.109
4,104.000,34.248,0.32931,23.051
5,105.113,28.075,0.26709,18.696
6,110.628,35.457,0.32051,22.436
7,104.258,24.542,0.23539,16.478
8,101.000,46.852,0.46388,32.472
9,102.001,41.624,0.40807,28.565
10,102.000,37.952,0.37208,26.045
11,100.003,42.441,0.42440,29.708
12,100.997,38.146,0.37770,26.439
13,103.000,39.758,0.38600,27.020
14,101.000,40.951,0.40546,28.382
15,100.000,42.138,0.42138,29.496
16,100.000,41.662,0.41662,29.163
17,104.061,34.452,0.33108,23.176
18,100.000,36.045,0.36045,25.232
19,100.000,40.281,0.40281,28.196
20,101.939,33.097,0.32467,22.727
21,103.999,42.606,0.40967,28.677
22,102.001,33.523,0.32866,23.006
23,101.000,46.138,0.45681,31.977
24,101.514,45.829,0.45146,31.602
25,100.000,42.212,0.42212,29.548
26,100.000,36.358,0.36358,25.451
27,101.485,41.677,0.41067,28.747
28,107.001,35.843,0.33498,23.448
29,106.000,47.467,0.44780,31.346
30,105.000,34.272,0.32640,22.848
31,103.999,44.137,0.42440,29.708
32,106.000,44.039,0.41546,29.082
33,102.000,42.766,0.41927,29.349
34,105.000,34.451,0.32810,22.967
35,100.003,46.489,0.46487,32.541
36,100.000,41.636,0.41636,29.145
37,100.000,42.444,0.42444,29.711
38,102.998,42.587,0.41348,28.944
39,100.000,45.242,0.45242,31.670
40,100.000,45.219,0.45219,31.653
41,100.000,43.989,0.43989,30.792
42,100.000,40.655,0.40655,28.458
43,100.999,38.572,0.38190,26.733
44,100.000,33.859,0.33859,23.701
45,101.000,36.127,0.35769,25.038
46,100.000,39.491,0.39490,27.643
47,101.997,42.847,0.42008,29.406
48,102.003,42.197,0.41368,28.958
49,100.000,41.259,0.41259,28.881
50,100.000,34.640,0.34640,24.248
51,100.000,44.755,0.44755,31.329
52,102.350,35.215,0.34407,24.085
53,101.650,37.751,0.37139,25.997
54,101.000,41.430,0.41020,28.714
55,100.060,37.809,0.37786,26.450
56,102.942,38.463,0.37364,26.155
57,104.998,34.374,0.32737,22.916
58,100.947,42.660,0.42260,29.582
59,100.000,35.360,0.35360,24.752
60,100.000,36.967,0.36967,25.877
61,101.611,38.873,0.38256,26.779
62,100.441,39.704,0.39530,27.671
63,100.001,42.343,0.42343,29.640
64,105.003,34.113,0.32488,22.742
65,101.997,44.740,0.43864,30.704
66,103.000,45.767,0.44434,31.104
67,108.000,36.160,0.33481,23.437
68,101.000,36.222,0.35864,25.105
69,100.000,46.525,0.46525,32.568
70,100.000,50.698,0.50698,35.488
71,103.000,39.400,0.38253,26.777
72,100.673,42.614,0.42329,29.630
73,100.000,33.505,0.33505,23.454
74,100.000,42.589,0.42589,29.813
75,104.328,34.625,0.33189,23.232
76,100.000,32.937,0.32937,23.056
77,111.007,33.318,0.30014,21.010
78,100.000,76.620,0.76620,53.634
79,100.000,67.300,0.67300,47.110
80,100.000,40.966,0.40966,28.676
81,100.000,43.269,0.43269,30.288
82,100.000,44.751,0.44751,31.326
83,102.992,44.060,0.42780,29.946
84,100.004,40.630,0.40628,28.440
85,102.996,42.520,0.41283,28.898
86,103.001,43.149,0.41892,29.324
87,105.000,35.046,0.33377,23.364
88,103.002,31.508,0.30590,21.413
89,100.000,33.096,0.33096,23.167
90,100.000,37.275,0.37275,26.093
91,100.998,48.480,0.48002,33.601
92,100.000,37.591,0.37591,26.314
93,100.000,40.206,0.40206,28.144
94,100.000,41.821,0.41821,29.275
95,102.670,41.235,0.40163,28.114
96,100.000,38.712,0.38712,27.098
97,102.752,38.408,0.37380,26.166
98,102.578,43.831,0.42730,29.911
99,101.000,41.610,0.41198,28.839
100,100.000,40.631,0.40631,28.442
101,100.000,44.148,0.44148,30.904
102,103.000,44.920,0.43611,30.528
103,100.006,45.129,0.45127,31.589
104,100.000,40.771,0.40771,28.540
105,100.000,40.332,0.40332,28.232
106,102.993,43.708,0.42438,29.707
107,101.787,49.724,0.48851,34.196
108,100.000,38.318,0.38318,26.823
