# recorded=2026-09-18T17:21:45+0800
# uname=Linux iZ0jl59glej0v8rv680qyqZ 6.8.0-137-generic #137-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 17 20:28:23 UTC 2026 x86_64 x86_64
# python=3.11.15 cpu_count=4
# workers=15 period_s=0.1 beats=1050
beat,wall_ms,cpu_ms,duty,units
0,102.992,20.373,0.19781,13.847
1,101.390,21.484,0.21189,14.833
2,101.610,23.150,0.22783,15.948
3,103.001,25.868,0.25115,17.580
4,104.999,25.553,0.24336,17.035
5,107.000,27.001,0.25235,17.664
6,105.000,25.728,0.24503,17.152
7,100.000,25.982,0.25982,18.188
8,100.000,25.961,0.25961,18.173
9,103.001,24.144,0.23441,16.409
10,104.000,26.371,0.25357,17.750
11,104.000,25.807,0.24815,17.370
12,102.000,25.664,0.25161,17.613
13,107.281,26.563,0.24760,17.332
14,100.000,26.766,0.26766,18.736
15,100.719,23.361,0.23194,16.236
16,101.999,25.390,0.24893,17.425
17,105.001,26.645,0.25376,17.763
18,105.072,26.161,0.24898,17.429
19,105.928,26.127,0.24665,17.265
20,101.000,25.501,0.25249,17.674
21,100.000,24.935,0.24935,17.455
22,105.278,26.039,0.24734,17.314
23,100.000,26.599,0.26599,18.619
24,109.723,25.461,0.23205,16.243
25,100.000,26.922,0.26922,18.845
26,106.852,25.786,0.24133,16.893
27,102.146,24.520,0.24005,16.803
28,104.613,26.929,0.25742,18.019
29,102.387,25.487,0.24892,17.425
30,102.999,25.594,0.24849,17.394
31,106.005,26.023,0.24549,17.184
32,102.996,25.317,0.24580,17.206
33,111.001,27.694,0.24949,17.464
34,108.059,28.104,0.26008,18.206
35,100.551,24.651,0.24516,17.161
36,100.389,25.865,0.25765,18.036
37,107.001,26.220,0.24505,17.153
38,100.000,25.046,0.25046,17.532
39,100.999,24.927,0.24680,17.276
40,104.336,25.607,0.24543,17.180
41,105.664,26.797,0.25361,17.752
42,105.450,26.263,0.24906,17.434
43,100.000,27.264,0.27264,19.085
44,104.550,23.972,0.22928,16.050
45,105.000,26.171,0.24925,17.448
46,102.616,25.257,0.24613,17.229
47,100.554,25.473,0.25333,17.733
48,102.830,25.705,0.24997,17.498
49,106.456,26.603,0.24990,17.493
50,100.281,25.645,0.25573,17.901
51,103.264,25.251,0.24453,17.117
52,100.000,24.664,0.24664,17.265
53,100.000,25.002,0.25002,17.501
54,101.003,25.770,0.25514,17.860
55,108.996,27.020,0.24790,17.353
56,105.000,26.529,0.25265,17.686
57,107.727,26.401,0.24507,17.155
58,100.000,26.241,0.26241,18.369
59,100.000,24.655,0.24655,17.259
60,100.000,24.706,0.24706,17.294
61,104.273,25.305,0.24268,16.988
62,100.000,26.482,0.26482,18.537
63,102.000,23.652,0.23188,16.232
64,107.610,27.376,0.25440,17.808
65,100.000,25.083,0.25083,17.558
66,100.000,26.695,0.26695,18.687
67,107.390,25.141,0.23411,16.387
68,100.001,25.198,0.25198,17.638
69,106.999,25.991,0.24290,17.003
70,100.000,26.984,0.26984,18.889
71,101.999,23.880,0.23411,16.388
72,100.000,26.780,0.26780,18.746
73,106.572,24.764,0.23237,16.266
