# recorded=2026-09-18T17:23:38+0800
# uname=Linux iZ0jl59glej0v8rv680qyqZ 6.8.0-137-generic #137-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 17 20:28:23 UTC 2026 x86_64 x86_64
# python=3.11.15 cpu_count=4
# workers=24 period_s=0.1 beats=1050
beat,wall_ms,cpu_ms,duty,units
0,110.996,17.992,0.16209,11.346
1,100.000,14.132,0.14132,9.892
2,108.579,16.577,0.15267,10.687
3,102.422,15.827,0.15452,10.817
4,109.000,17.233,0.15810,11.067
5,100.000,16.957,0.16957,11.870
6,105.004,15.426,0.14690,10.283
7,103.997,16.334,0.15706,10.994
8,109.999,17.762,0.16148,11.303
9,111.000,16.899,0.15224,10.657
10,108.999,16.440,0.15083,10.558
11,100.000,15.045,0.15045,10.531
12,107.002,16.863,0.15760,11.032
13,103.997,16.356,0.15728,11.009
14,112.712,17.467,0.15497,10.848
15,105.289,16.648,0.15812,11.068
16,108.000,17.164,0.15893,11.125
17,108.999,17.995,0.16509,11.556
18,103.000,16.993,0.16498,11.549
19,107.000,17.541,0.16393,11.475
20,113.000,17.499,0.15486,10.840
21,119.000,17.227,0.14477,10.134
22,108.000,18.000,0.16667,11.667
23,101.000,15.002,0.14853,10.397
24,109.000,17.032,0.15625,10.938
25,100.000,16.999,0.16999,11.899
26,112.001,16.004,0.14290,10.003
27,112.000,17.719,0.15821,11.074
28,100.000,17.015,0.17015,11.910
29,107.000,16.001,0.14954,10.468
30,103.003,15.003,0.14566,10.196
31,113.996,16.987,0.14901,10.431
32,101.999,16.269,0.15951,11.165
33,112.001,16.694,0.14905,10.434
34,107.001,17.416,0.16277,11.394
35,113.998,18.001,0.15791,11.053
36,110.001,17.922,0.16293,11.405
37,111.000,17.997,0.16214,11.350
38,117.113,17.273,0.14749,10.324
39,106.111,15.312,0.14430,10.101
40,100.000,17.680,0.17680,12.376
41,106.775,15.008,0.14056,9.839
42,104.000,17.443,0.16772,11.741
43,111.999,18.001,0.16073,11.251
44,102.001,15.000,0.14706,10.294
45,100.000,15.723,0.15723,11.006
46,100.000,16.766,0.16766,11.736
47,102.003,14.004,0.13729,9.610
48,106.997,14.801,0.13833,9.683
49,100.000,14.830,0.14830,10.381
50,108.999,18.000,0.16514,11.560
51,104.001,14.999,0.14422,10.095
52,115.024,18.025,0.15671,10.970
53,105.976,17.972,0.16959,11.871
54,100.000,15.996,0.15996,11.197
55,112.000,16.992,0.15171,10.620
56,101.000,14.996,0.14848,10.393
57,109.000,17.604,0.16151,11.306
58,100.000,16.968,0.16968,11.878
59,100.000,14.680,0.14680,10.276
60,101.000,15.000,0.14852,10.396
61,105.999,17.551,0.16557,11.590
62,101.001,14.727,0.14581,10.207
63,113.000,18.000,0.15929,11.150
64,110.999,18.000,0.16217,11.352
65,101.000,14.997,0.14849,10.394
66,110.000,17.985,0.16350,11.445
67,106.000,17.994,0.16975,11.883
68,106.000,17.577,0.16582,11.608
69,107.999,17.993,0.16660,11.662
70,114.001,18.001,0.15790,11.053
71,111.000,18.001,0.16217,11.352
72,103.000,14.992,0.14555,10.188
73,110.891,16.548,0.14923,10.446
74,110.110,18.316,0.16634,11.644
75,108.225,17.654,0.16312,11.419
76,101.054,17.050,0.16872,11.810
77,105.839,17.909,0.16921,11.845
78,104.882,17.502,0.16687,11.681
79,100.000,15.969,0.15969,11.179
80,111.000,18.894,0.17022,11.915
81,114.000,16.657,0.14612,10.228
82,104.999,17.330,0.16505,11.553
83,108.999,15.864,0.14554,10.188
84,114.001,17.708,0.15533,10.873
85,100.000,16.712,0.16712,11.698
86,107.999,17.271,0.15992,11.194
87,112.000,17.493,0.15619,10.933
88,109.000,17.996,0.16510,11.557
89,107.000,17.726,0.16566,11.596
90,102.515,17.171,0.16750,11.725
91,100.000,17.001,0.17001,11.901
92,110.484,14.993,0.13570,9.499
93,100.001,14.786,0.14785,10.350
94,105.999,14.997,0.14149,9.904
95,106.001,17.300,0.16321,11.424
96,103.000,16.780,0.16291,11.404
97,100.000,17.737,0.17737,12.416
98,102.000,14.094,0.13818,9.673
99,100.000,15.974,0.15974,11.182
100,104.849,17.420,0.16614,11.630
101,100.000,17.085,0.17085,11.960
102,109.324,16.345,0.14951,10.466
103,108.827,17.601,0.16174,11.321
104,104.001,14.940,0.14366,10.056
105,113.999,17.990,0.15781,11.046
106,109.000,17.999,0.16513,11.559
107,106.000,17.139,0.16169,11.318
108,106.677,17.997,0.16870,11.809
109,102.324,16.688,0.16309,11.416
110,109.001,17.997,0.16511,11.558
111,110.998,17.996,0.16213,11.349
112,104.454,17.006,0.16281,11.397
113,105.546,17.488,0.16569,11.598
114,100.000,15.573,0.15573,10.901
115,100.000,12.867,0.12867,9.007
116,113.001,18.096,0.16014,11.210
117,108.999,17.825,0.16353,11.447
118,106.000,17.999,0.16980,11.886
119,106.000,17.066,0.16100,11.270
120,103.001,17.338,0.16832,11.783
121,108.508,18.000,0.16589,11.612
122,108.492,17.487,0.16118,11.283
123,109.001,17.727,0.16263,11.384
124,111.000,17.996,0.16213,11.349
125,110.000,17.664,0.16058,11.241
126,112.000,17.997,0.16069,11.248
127,103.000,17.036,0.16540,11.578
128,103.000,17.146,0.16647,11.653
129,109.001,17.991,0.16505,11.553
130,100.000,17.093,0.17093,11.965
131,108.999,17.100,0.15688,10.982
132,106.000,17.999,0.16980,11.886
133,105.000,17.732,0.16887,11.821
134,104.000,17.153,0.16493,11.545
135,106.000,17.999,0.16980,11.886
136,106.289,17.913,0.16853,11.797
137,111.712,17.791,0.15926,11.148
138,100.000,16.959,0.16959,11.871
139,108.999,17.985,0.16501,11.550
140,105.001,17.504,0.16670,11.669
141,104.000,17.149,0.16489,11.542
142,108.337,17.988,0.16604,11.623
143,103.662,17.661,0.17037,11.926
144,112.001,17.999,0.16070,11.249
145,106.999,16.041,0.14992,10.494
146,105.000,18.001,0.17144,12.001
147,100.001,14.712,0.14712,10.298
148,101.999,16.481,0.16158,11.311
149,112.000,17.811,0.15903,11.132
150,114.111,17.425,0.15270,10.689
151,101.888,13.852,0.13596,9.517
152,100.000,15.000,0.15000,10.500
153,109.000,18.001,0.16514,11.560
154,112.000,17.986,0.16059,11.241
155,100.007,14.998,0.14997,10.498
156,100.000,16.695,0.16695,11.687
157,112.994,16.058,0.14212,9.948
158,114.000,17.999,0.15789,11.052
159,116.001,17.431,0.15027,10.519
160,109.954,16.991,0.15452,10.817
161,109.045,17.578,0.16120,11.284
162,114.001,16.445,0.14425,10.097
163,103.999,16.547,0.15910,11.137
164,112.001,17.998,0.16070,11.249
165,109.000,18.002,0.16515,11.561
166,112.000,17.996,0.16068,11.248
167,110.001,17.501,0.15910,11.137
168,112.001,18.003,0.16074,11.252
169,101.998,17.276,0.16937,11.856
170,103.000,16.661,0.16176,11.323
171,106.999,17.585,0.16435,11.505
172,105.000,17.995,0.17138,11.997
173,105.000,16.465,0.15681,10.977
174,100.390,16.994,0.16928,11.849
175,100.056,16.505,0.16496,11.547
176,110.554,17.575,0.15897,11.128
177,100.001,17.446,0.17445,12.212
178,102.114,15.000,0.14690,10.283
179,110.886,15.212,0.13718,9.603
180,103.002,16.843,0.16352,11.446
181,107.997,17.881,0.16557,11.590
182,100.000,17.241,0.17241,12.068
183,105.278,16.277,0.15461,10.823
184,100.000,16.894,0.16894,11.826
185,105.721,16.753,0.15847,11.093
186,112.000,16.223,0.14485,10.140
187,100.000,15.999,0.15999,11.199
188,115.001,17.000,0.14782,10.348
189,110.000,17.997,0.16361,11.453
190,107.001,18.001,0.16824,11.777
191,109.000,17.995,0.16509,11.556
192,106.999,17.997,0.16820,11.774
193,107.996,17.516,0.16219,11.353
194,100.007,15.005,0.15004,10.503
195,101.996,16.312,0.15993,11.195
196,100.000,17.032,0.17032,11.922
197,112.004,16.019,0.14302,10.012
198,103.996,17.219,0.16558,11.590
199,105.000,14.634,0.13937,9.756
200,113.001,19.030,0.16841,11.788
201,117.000,18.065,0.15440,10.808
202,110.999,17.190,0.15487,10.841
203,103.002,17.162,0.16662,11.663
204,111.998,17.310,0.15455,10.819
205,103.999,17.109,0.16451,11.516
206,113.001,17.643,0.15614,10.930
207,101.001,16.554,0.16390,11.473
208,108.000,16.440,0.15222,10.655
209,115.000,17.647,0.15345,10.741
210,114.000,18.806,0.16496,11.547
211,101.999,15.001,0.14707,10.295
212,114.999,17.564,0.15274,10.691
213,107.880,16.575,0.15365,10.755
214,100.110,16.034,0.16016,11.212
215,100.000,17.302,0.17302,12.112
216,103.011,17.079,0.16580,11.606
217,104.391,17.482,0.16747,11.723
218,117.609,18.977,0.16135,11.295
219,108.000,14.840,0.13741,9.618
220,112.999,17.987,0.15918,11.142
221,109.001,17.619,0.16164,11.315
222,106.001,18.000,0.16981,11.887
223,100.000,16.960,0.16960,11.872
224,108.000,17.109,0.15842,11.089
225,106.999,17.999,0.16822,11.775
226,104.682,17.497,0.16715,11.700
227,106.319,17.310,0.16281,11.397
228,105.999,18.004,0.16985,11.890
229,109.001,17.618,0.16163,11.314
230,105.999,17.998,0.16980,11.886
231,106.001,16.905,0.15948,11.164
232,105.999,17.993,0.16974,11.882
233,100.000,14.673,0.14673,10.271
234,109.002,18.000,0.16513,11.559
235,111.998,17.405,0.15540,10.878
236,100.000,16.336,0.16336,11.435
237,105.001,15.765,0.15014,10.510
238,103.000,17.166,0.16666,11.666
239,100.000,16.999,0.16999,11.899
240,105.000,15.112,0.14392,10.075
241,100.000,19.328,0.19328,13.529
242,114.000,15.999,0.14035,9.824
243,113.000,17.778,0.15732,11.013
244,107.000,18.000,0.16822,11.776
245,113.001,17.110,0.15141,10.599
246,101.662,14.328,0.14093,9.865
247,100.000,17.246,0.17246,12.072
248,107.165,16.368,0.15274,10.692
249,101.057,15.668,0.15504,10.853
250,101.053,16.428,0.16257,11.380
251,101.054,16.993,0.16816,11.771
252,100.008,15.569,0.15567,10.897
253,105.000,18.360,0.17486,12.240
254,106.000,15.036,0.14185,9.929
255,108.389,17.911,0.16524,11.567
256,104.056,16.497,0.15854,11.098
