# recorded=2026-09-18T18:57:12+0800
# uname=Linux iZ0jl59glej0v8rv680qyqZ 6.8.0-137-generic #137-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 17 20:28:23 UTC 2026 x86_64 x86_64
# python=3.14.7 cpu_count=4
# workers=5 period_s=0.1 beats=1050
beat,wall_ms,cpu_ms,duty,units
0,100.000,50.222,0.50221,35.155
1,100.000,43.870,0.43870,30.709
2,100.000,50.315,0.50315,35.221
3,102.095,49.858,0.48835,34.184
4,100.000,50.320,0.50319,35.224
5,103.999,51.607,0.49622,34.736
6,102.000,50.998,0.49998,34.999
7,100.000,93.819,0.93819,65.674
8,103.000,73.636,0.71491,50.044
9,100.000,70.684,0.70684,49.479
10,100.728,96.927,0.96226,67.359
11,100.000,49.105,0.49105,34.374
12,100.000,95.638,0.95638,66.946
13,100.166,71.016,0.70898,49.629
14,100.000,49.909,0.49909,34.936
15,100.000,52.400,0.52400,36.680
16,100.000,99.973,0.99973,69.981
17,100.108,55.586,0.55526,38.868
18,100.000,50.998,0.50998,35.698
19,100.000,68.273,0.68273,47.791
20,100.000,96.928,0.96928,67.850
21,101.997,52.223,0.51200,35.840
22,100.000,94.284,0.94284,65.999
23,103.001,73.123,0.70992,49.695
24,100.000,70.274,0.70274,49.192
25,102.008,96.401,0.94503,66.152
26,101.991,51.572,0.50566,35.396
27,100.000,96.873,0.96873,67.811
28,103.000,71.371,0.69292,48.505
29,100.000,72.607,0.72607,50.825
30,100.000,94.118,0.94118,65.882
31,101.000,48.696,0.48214,33.750
32,103.001,52.134,0.50615,35.431
33,101.171,66.713,0.65941,46.159
34,101.828,50.591,0.49682,34.777
35,100.000,74.734,0.74734,52.314
36,101.000,89.333,0.88448,61.913
37,102.000,50.521,0.49530,34.671
38,100.000,99.937,0.99937,69.956
39,100.000,62.416,0.62416,43.691
40,100.001,48.188,0.48188,33.731
41,100.000,50.151,0.50151,35.106
42,100.000,88.699,0.88699,62.089
43,100.000,49.493,0.49493,34.645
44,100.000,91.857,0.91857,64.300
45,100.002,76.599,0.76598,53.618
46,100.000,62.522,0.62521,43.765
47,100.000,99.969,0.99969,69.979
48,100.000,53.213,0.53213,37.249
49,100.000,85.302,0.85302,59.712
50,102.997,78.971,0.76673,53.671
51,100.000,50.524,0.50524,35.367
52,102.999,50.452,0.48983,34.288
53,100.000,99.953,0.99953,69.967
54,100.000,61.940,0.61939,43.358
55,100.000,73.952,0.73952,51.766
56,102.000,87.643,0.85925,60.147
57,104.001,51.243,0.49272,34.490
58,103.019,52.638,0.51096,35.767
59,100.000,92.058,0.92058,64.440
60,102.982,73.751,0.71616,50.131
