task,method,blen,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
hover,v3,5,330,205.8,0.0045,0.0717,0.0000,0.0530,4.0,50.6,0.994,0.003,0.003,144.1,0.506,0.0000
hover,fixed20,5,330,209.0,0.0046,0.0717,0.0000,0.0510,4.0,127.0,0.000,0.000,0.000,146.3,0.513,0.0000
step,v3,5,330,206.2,0.0155,0.2746,0.0005,0.0530,4.0,50.3,0.994,0.003,0.003,144.4,0.507,0.0000
step,fixed20,5,330,203.0,0.0159,0.2803,0.0005,0.0510,4.0,127.2,0.000,0.000,0.000,142.1,0.499,0.0000
circle,v3,5,330,203.4,0.1355,1.5269,0.0437,0.0560,4.1,50.7,0.993,0.004,0.003,142.4,0.500,0.0022
circle,fixed20,5,330,207.6,5285.6615,13366.8805,11671.6009,0.9990,7.9,240.5,0.000,0.000,0.000,145.4,0.510,0.3699
fig8,v3,5,330,207.5,0.1607,1.6605,0.0487,0.0530,4.1,50.8,0.993,0.004,0.003,145.3,0.510,0.0038
fig8,fixed20,5,330,209.4,1840.5972,4811.4883,4156.4815,0.7380,6.9,240.5,0.000,0.000,0.000,146.6,0.514,0.0747
hover,v3,10,330,197.9,0.0107,0.1088,0.0029,0.1000,4.0,50.9,0.994,0.003,0.003,144.1,0.506,0.0000
hover,fixed20,10,330,196.9,0.0063,0.0717,0.0008,0.0980,4.0,127.2,0.000,0.000,0.000,143.4,0.503,0.0000
step,v3,10,330,198.5,0.0182,0.2746,0.0076,0.1000,4.0,49.5,0.994,0.003,0.003,144.6,0.507,0.0000
step,fixed20,10,330,195.1,0.0165,0.2803,0.0037,0.0980,4.0,124.9,0.000,0.000,0.000,142.0,0.498,0.0000
circle,v3,10,330,197.2,4732.9933,12018.0436,10663.7404,0.7420,15.3,220.9,0.993,0.004,0.003,143.6,0.504,0.3439
circle,fixed20,10,330,195.9,5285.6615,13366.8805,11671.6009,0.9990,7.9,234.4,0.000,0.000,0.000,142.7,0.501,0.3699
fig8,v3,10,330,197.3,1664.6928,4366.8780,3822.0591,0.7330,15.2,220.3,0.993,0.004,0.003,143.7,0.504,0.2201
fig8,fixed20,10,330,193.1,2007.8840,5284.7899,4576.2923,0.7480,6.6,215.5,0.000,0.000,0.000,140.6,0.493,0.1188
hover,v3,15,330,193.5,3562.1679,9796.2255,8366.3861,0.7370,14.5,221.1,0.994,0.003,0.003,145.6,0.511,0.3506
hover,fixed20,15,330,194.5,1945.6897,5264.5435,4516.7573,0.7380,6.7,239.5,0.000,0.000,0.000,146.4,0.514,0.0962
step,v3,15,330,187.8,2299.8833,6309.7135,5392.9227,0.7370,14.0,215.8,0.994,0.003,0.003,141.3,0.496,0.3878
step,fixed20,15,330,186.7,1925.0502,5208.9528,4470.1120,0.7380,6.6,232.6,0.000,0.000,0.000,140.5,0.493,0.0958
circle,v3,15,330,190.5,3524.6753,9357.1301,8066.8644,0.7530,15.0,216.8,0.993,0.004,0.003,143.4,0.503,0.1150
circle,fixed20,15,330,187.9,5285.6615,13366.8805,11671.6009,0.9990,7.9,234.8,0.000,0.000,0.000,141.4,0.496,0.3699
fig8,v3,15,330,190.7,5019.9669,9023.1437,8751.5093,0.7500,15.3,218.9,0.993,0.004,0.003,143.5,0.503,0.2159
fig8,fixed20,15,330,185.7,1952.2580,5143.8677,4452.7958,0.7520,6.7,215.2,0.000,0.000,0.000,139.7,0.490,0.1137
hover,v3,20,330,182.3,5374.7614,15725.0030,13122.6937,0.7380,14.4,216.1,0.994,0.003,0.003,142.8,0.501,0.5530
hover,fixed20,20,330,182.5,1767.6124,4724.1305,4067.8993,0.7480,6.7,234.0,0.000,0.000,0.000,143.0,0.502,0.1073
step,v3,20,330,178.6,2365.5347,6587.5597,5601.9237,0.7370,14.1,210.7,0.994,0.003,0.003,139.9,0.491,0.3785
step,fixed20,20,330,180.5,1753.9785,4690.7237,4038.4686,0.7480,6.7,233.7,0.000,0.000,0.000,141.4,0.496,0.1074
circle,v3,20,330,186.3,8084.6616,21772.7891,18801.3453,0.7540,15.3,222.3,0.993,0.004,0.003,146.0,0.512,0.6316
circle,fixed20,20,330,186.8,5285.6615,13366.8805,11671.6009,0.9990,8.0,234.9,0.000,0.000,0.000,146.4,0.514,0.3699
fig8,v3,20,330,181.5,3993.2816,9977.4187,8800.0895,0.7540,15.1,217.4,0.993,0.004,0.003,142.2,0.499,0.0951
fig8,fixed20,20,330,179.9,2772.5798,6329.4476,5712.6075,0.7520,6.4,214.1,0.000,0.000,0.000,140.9,0.494,0.0954
hover,v3,30,330,172.0,5252.1636,15548.4974,12930.2709,0.7490,14.0,219.0,0.994,0.003,0.003,145.2,0.509,0.4360
hover,fixed20,30,330,168.9,1649.0359,4517.1454,3865.6062,0.7480,6.4,217.0,0.000,0.000,0.000,142.5,0.500,0.1039
step,v3,30,330,174.2,1485.2252,4036.6300,3460.1430,0.7490,14.3,226.5,0.994,0.003,0.003,147.0,0.516,0.3169
step,fixed20,30,330,169.7,1643.8545,4503.4798,3853.4112,0.7480,6.5,231.2,0.000,0.000,0.000,143.2,0.503,0.1034
circle,v3,30,330,170.5,5660.7430,13070.8161,11970.2834,0.7570,14.4,218.0,0.993,0.004,0.003,143.9,0.505,0.2655
circle,fixed20,30,330,170.2,5285.6615,13366.8805,11671.6009,0.9990,7.9,239.4,0.000,0.000,0.000,143.6,0.504,0.3699
fig8,v3,30,330,173.1,6984.7098,15791.9646,14583.0997,0.7540,14.6,219.8,0.993,0.004,0.003,146.0,0.512,0.4769
fig8,fixed20,30,330,167.7,1865.4126,4916.7664,4250.7486,0.7530,6.8,234.8,0.000,0.000,0.000,141.5,0.496,0.1099
hover,v3,5,331,205.4,0.0023,0.0332,0.0002,0.0330,4.0,48.6,0.994,0.003,0.003,141.5,0.497,0.0000
hover,fixed20,5,331,206.0,0.0021,0.0332,0.0000,0.0310,4.0,124.4,0.000,0.000,0.000,141.9,0.498,0.0000
step,v3,5,331,207.6,0.0131,0.2350,0.0002,0.0330,4.0,49.5,0.994,0.003,0.003,143.1,0.502,0.0000
step,fixed20,5,331,213.5,0.0140,0.2572,0.0003,0.0310,4.0,125.0,0.000,0.000,0.000,147.1,0.516,0.0000
circle,v3,5,331,204.1,15260.4558,26632.2313,25722.1311,0.9990,19.4,217.8,0.993,0.004,0.003,140.6,0.493,0.5935
circle,fixed20,5,331,204.5,4942.2099,12263.8204,10820.1644,0.9990,7.9,235.4,0.000,0.000,0.000,140.9,0.494,0.4025
fig8,v3,5,331,204.7,0.0498,0.5254,0.0486,0.0330,4.0,49.1,0.993,0.004,0.003,141.0,0.495,0.0000
fig8,fixed20,5,331,205.1,0.0498,0.5254,0.0540,0.0310,4.0,124.7,0.000,0.000,0.000,141.3,0.496,0.0000
hover,v3,10,331,202.6,0.0107,0.1602,0.0006,0.0630,4.0,50.2,0.994,0.003,0.003,143.1,0.502,0.0000
hover,fixed20,10,331,207.1,0.0028,0.0332,0.0001,0.0610,4.0,127.1,0.000,0.000,0.000,146.2,0.513,0.0000
step,v3,10,331,204.8,0.0280,0.5006,0.0004,0.0630,4.0,51.0,0.994,0.003,0.003,144.6,0.507,0.0000
step,fixed20,10,331,202.0,0.0199,0.3714,0.0004,0.0610,4.0,125.1,0.000,0.000,0.000,142.6,0.500,0.0000
circle,v3,10,331,203.3,15260.4558,26632.2313,25722.1311,0.9990,18.9,220.0,0.993,0.004,0.003,143.6,0.504,0.5935
circle,fixed20,10,331,203.6,4942.2099,12263.8204,10820.1644,0.9990,8.0,236.1,0.000,0.000,0.000,143.8,0.504,0.4025
