traj,method,pattern,blen,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,time_drift,gearL,gearM,gearH,calib_ms,budget_scale
fig8,v3,burst,100,430,37.1,0.0383,0.1391,0.0872,0.0010,7.6,16.6,1.0009,0.700,0.000,0.300,29.5,1.179
fig8,fixed20,burst,100,430,37.2,4.5825,9.0155,7.8954,0.7000,10.7,47.7,1.0307,0.000,0.000,0.000,29.5,1.180
fig8,v3,burst,100,431,56.9,0.0332,0.1408,0.0624,0.0000,7.7,46.2,0.3583,0.400,0.000,0.600,29.6,1.185
fig8,fixed20,burst,100,431,56.8,1.1564,3.7686,3.0349,0.4000,8.6,46.7,1.0084,0.000,0.000,0.000,29.6,1.184
fig8,v3,burst,100,432,63.4,0.0397,0.1458,0.1086,0.0000,7.7,46.6,0.9996,0.300,0.000,0.700,29.6,1.185
fig8,fixed20,burst,100,432,63.1,0.3465,1.4593,0.9747,0.3000,8.7,46.6,0.9983,0.000,0.000,0.000,29.5,1.180
fig8,v3,burst,100,433,47.1,0.0351,0.1410,0.0808,0.0000,7.6,16.6,0.3566,0.552,0.000,0.448,29.7,1.188
fig8,fixed20,burst,100,433,47.0,2.5221,7.5637,5.9684,0.5520,9.1,47.1,1.0229,0.000,0.000,0.000,29.6,1.185
fig8,v3,burst,100,434,51.6,0.0365,0.1348,0.0941,0.0000,7.6,46.0,0.3622,0.482,0.000,0.518,29.6,1.185
fig8,fixed20,burst,100,434,51.5,0.8629,3.3998,2.3853,0.4820,8.4,46.7,0.9990,0.000,0.000,0.000,29.6,1.185
fig8,v3,burst,100,435,43.6,0.0377,0.1358,0.0927,0.0000,7.7,16.6,1.0007,0.603,0.000,0.397,29.6,1.184
fig8,fixed20,burst,100,435,43.7,0.7658,3.1037,1.9582,0.6030,8.4,47.1,1.0027,0.000,0.000,0.000,29.7,1.187
fig8,v3,burst,100,436,56.9,0.0280,0.0898,0.0565,0.0000,7.7,46.4,2.7971,0.400,0.000,0.600,29.7,1.186
fig8,fixed20,burst,100,436,57.0,1.6411,5.4942,3.8538,0.4000,8.3,46.9,0.9868,0.000,0.000,0.000,29.7,1.188
fig8,v3,burst,100,437,42.4,0.0451,0.1360,0.1084,0.0000,7.6,16.6,0.9979,0.623,0.000,0.377,29.6,1.186
fig8,fixed20,burst,100,437,42.3,1.7818,6.3523,4.3197,0.6230,8.5,47.1,1.0036,0.000,0.000,0.000,29.6,1.185
fig8,v3,burst,100,438,63.2,0.0400,0.1354,0.1088,0.0000,7.6,46.6,0.9812,0.300,0.000,0.700,29.5,1.181
fig8,fixed20,burst,100,438,63.5,0.4429,1.7143,1.1370,0.3000,8.4,46.6,1.0027,0.000,0.000,0.000,29.7,1.186
fig8,v3,burst,100,439,69.8,0.0365,0.1402,0.0980,0.0000,7.7,46.8,1.0034,0.200,0.000,0.800,29.6,1.184
fig8,fixed20,burst,100,439,69.9,0.4649,2.1858,1.2672,0.2000,8.0,46.9,0.9947,0.000,0.000,0.000,29.6,1.184
fig8,v3,burst,100,440,54.0,0.0332,0.1391,0.0769,0.0000,7.6,46.2,2.7970,0.444,0.000,0.556,29.6,1.185
fig8,fixed20,burst,100,440,54.0,0.6811,2.5815,1.7884,0.4440,8.2,46.6,1.0012,0.000,0.000,0.000,29.6,1.185
fig8,v3,burst,100,441,63.5,0.0404,0.1339,0.1081,0.0000,7.7,46.6,0.3548,0.300,0.000,0.700,29.7,1.186
fig8,fixed20,burst,100,441,63.0,1.7121,5.5622,4.1598,0.3000,8.3,46.7,1.0176,0.000,0.000,0.000,29.4,1.178
fig8,v3,burst,100,442,45.1,0.0448,0.1462,0.1182,0.0000,7.6,16.6,0.3573,0.579,0.000,0.421,29.6,1.183
fig8,fixed20,burst,100,442,45.2,1.9024,7.4804,5.2799,0.5790,9.0,47.1,1.0194,0.000,0.000,0.000,29.6,1.184
fig8,v3,burst,100,443,56.8,0.0316,0.1495,0.0454,0.0000,7.6,46.3,0.9945,0.400,0.000,0.600,29.6,1.183
fig8,fixed20,burst,100,443,56.9,0.3590,2.2221,0.6280,0.4000,8.4,46.9,0.9989,0.000,0.000,0.000,29.6,1.185
fig8,v3,burst,100,444,69.7,0.0336,0.1365,0.0697,0.0000,7.7,46.6,0.9959,0.200,0.000,0.800,29.5,1.181
fig8,fixed20,burst,100,444,69.7,0.6015,2.8049,1.6706,0.2000,7.9,46.9,0.9921,0.000,0.000,0.000,29.5,1.181
