traj,method,pattern,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,time_drift,gearL,gearM,gearH,calib_ms,budget_scale
circle,v3,periodic,430,71.1,0.1675,1.8953,0.0448,0.0000,7.8,46.5,1.0002,0.200,0.000,0.800,30.1,1.206
circle,fixed20,periodic,430,69.1,0.3528,2.1636,0.1126,0.2000,7.9,46.5,0.9992,0.000,0.000,0.000,29.3,1.172
circle,v3,burst,430,65.3,0.1671,1.8953,0.0431,0.0000,7.7,46.4,1.0044,0.270,0.000,0.730,29.6,1.184
circle,fixed20,burst,430,65.1,0.2276,1.8953,0.4387,0.2700,8.1,46.5,0.9986,0.000,0.000,0.000,29.5,1.181
fig8,v3,periodic,430,69.3,0.0248,0.0783,0.0469,0.0000,7.7,46.4,0.9990,0.200,0.000,0.800,29.4,1.174
fig8,fixed20,periodic,430,69.8,0.1137,0.9560,0.0899,0.2000,7.8,46.5,0.9998,0.000,0.000,0.000,29.6,1.183
fig8,v3,burst,430,64.8,0.0301,0.1272,0.0586,0.0000,7.7,46.5,1.0150,0.270,0.000,0.730,29.4,1.175
fig8,fixed20,burst,430,65.1,0.2430,1.7556,0.4428,0.2700,7.6,46.5,0.9855,0.000,0.000,0.000,29.5,1.180
circle,v3,periodic,431,69.8,0.1685,1.9069,0.0442,0.0000,7.8,46.5,1.0012,0.200,0.000,0.800,29.6,1.183
circle,fixed20,periodic,431,69.5,0.3553,2.1980,0.0864,0.2000,8.0,46.9,0.9985,0.000,0.000,0.000,29.4,1.177
circle,v3,burst,431,68.9,0.1679,1.9069,0.0426,0.0000,7.8,46.4,0.9969,0.210,0.000,0.790,29.5,1.179
circle,fixed20,burst,431,68.8,0.1718,1.9069,0.1222,0.2100,7.9,46.6,0.9996,0.000,0.000,0.000,29.4,1.178
fig8,v3,periodic,431,69.8,0.0248,0.0775,0.0454,0.0000,7.7,46.4,0.9991,0.200,0.000,0.800,29.6,1.184
fig8,fixed20,periodic,431,69.8,0.1166,0.9902,0.0908,0.2000,7.8,46.4,1.0003,0.000,0.000,0.000,29.6,1.183
fig8,v3,burst,431,68.8,0.0262,0.1023,0.0470,0.0000,7.7,46.5,0.9995,0.210,0.000,0.790,29.4,1.177
fig8,fixed20,burst,431,69.0,0.0575,0.3420,0.1177,0.2100,7.8,46.6,0.9913,0.000,0.000,0.000,29.5,1.181
circle,v3,periodic,432,69.8,0.1711,1.9065,0.0431,0.0000,7.8,46.7,1.0073,0.200,0.000,0.800,29.6,1.183
circle,fixed20,periodic,432,69.6,0.3591,2.2036,0.1302,0.2000,8.0,46.6,0.9959,0.000,0.000,0.000,29.5,1.179
circle,v3,burst,432,75.0,0.1704,1.9065,0.0422,0.0000,7.9,46.5,1.0000,0.120,0.000,0.880,29.6,1.182
circle,fixed20,burst,432,74.7,0.1708,1.9065,0.0557,0.1200,8.0,46.6,0.9999,0.000,0.000,0.000,29.5,1.179
fig8,v3,periodic,432,69.4,0.0246,0.0768,0.0454,0.0000,7.7,46.4,0.9997,0.200,0.000,0.800,29.4,1.177
fig8,fixed20,periodic,432,69.9,0.1189,0.9958,0.0798,0.2000,7.8,46.6,1.0029,0.000,0.000,0.000,29.6,1.185
fig8,v3,burst,432,74.6,0.0260,0.1242,0.0478,0.0000,7.7,46.7,0.9928,0.120,0.000,0.880,29.4,1.176
fig8,fixed20,burst,432,74.9,0.0395,0.2784,0.0850,0.1200,7.7,46.6,1.0064,0.000,0.000,0.000,29.5,1.181
circle,v3,periodic,433,69.9,0.1683,1.8980,0.0445,0.0000,7.8,46.8,1.0016,0.200,0.000,0.800,29.6,1.185
circle,fixed20,periodic,433,69.1,0.3540,2.1619,0.1212,0.2000,8.0,46.9,0.9990,0.000,0.000,0.000,29.3,1.172
circle,v3,burst,433,69.1,0.1677,1.8980,0.0432,0.0000,7.8,46.8,1.0009,0.210,0.000,0.790,29.5,1.182
circle,fixed20,burst,433,68.8,0.2088,1.8980,0.2494,0.2100,8.0,47.0,1.0004,0.000,0.000,0.000,29.4,1.178
fig8,v3,periodic,433,69.2,0.0249,0.0801,0.0441,0.0000,7.7,46.8,0.9989,0.200,0.000,0.800,29.3,1.173
fig8,fixed20,periodic,433,69.8,0.1150,0.9543,0.1057,0.2000,7.8,46.9,0.9991,0.000,0.000,0.000,29.6,1.183
fig8,v3,burst,433,69.2,0.0297,0.1538,0.0549,0.0000,7.6,46.8,1.0018,0.210,0.000,0.790,29.6,1.185
fig8,fixed20,burst,433,68.9,0.1668,0.8344,0.4972,0.2100,7.8,46.8,0.9905,0.000,0.000,0.000,29.4,1.178
circle,v3,periodic,434,69.5,0.1712,1.9180,0.0448,0.0000,7.8,46.8,1.0003,0.200,0.000,0.800,29.5,1.179
circle,fixed20,periodic,434,69.3,0.3570,2.2091,0.0745,0.2000,7.9,46.6,0.9911,0.000,0.000,0.000,29.4,1.175
circle,v3,burst,434,68.9,0.1707,1.9180,0.0439,0.0000,7.8,46.7,1.0082,0.210,0.000,0.790,29.5,1.179
circle,fixed20,burst,434,69.2,0.2520,1.9180,0.3535,0.2100,7.9,46.9,0.9996,0.000,0.000,0.000,29.6,1.183
