traj,method,pattern,blen,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,time_drift,gearL,gearM,gearH,calib_ms,budget_scale
circle,fixed20,burst,100,430,37.2,1.8071,5.3842,4.4530,0.7000,9.1,46.7,1.0086,0.000,0.000,0.000,29.5,1.182
circle,v3,burst,100,430,36.8,0.1678,1.8953,0.0429,0.0000,7.3,16.3,0.9997,0.700,0.000,0.300,29.2,1.169
circle,fixed20,burst,100,431,56.2,1.1950,4.8852,3.1137,0.4000,8.4,46.4,0.9999,0.000,0.000,0.000,29.2,1.170
circle,v3,burst,100,431,56.6,0.1683,1.9069,0.0421,0.0000,7.6,46.4,0.3532,0.400,0.000,0.600,29.5,1.180
circle,fixed20,burst,100,432,62.7,0.1745,1.9065,0.1271,0.3000,7.9,46.4,0.9962,0.000,0.000,0.000,29.3,1.172
circle,v3,burst,100,432,62.9,0.1707,1.9065,0.0412,0.0000,7.7,46.6,1.0035,0.300,0.000,0.700,29.4,1.175
circle,fixed20,burst,100,433,46.1,4.5555,12.2827,11.0605,0.5520,10.0,46.8,1.0205,0.000,0.000,0.000,29.1,1.164
circle,v3,burst,100,433,46.4,0.1683,1.8980,0.0424,0.0000,7.4,16.4,0.3531,0.552,0.000,0.448,29.3,1.172
circle,fixed20,burst,100,434,50.9,0.8093,3.3225,2.4001,0.4820,8.3,46.3,0.9889,0.000,0.000,0.000,29.3,1.171
circle,v3,burst,100,434,51.1,0.1711,1.9180,0.0424,0.0000,7.5,46.5,0.3557,0.482,0.000,0.518,29.4,1.175
circle,fixed20,burst,100,435,43.1,0.7283,2.8857,2.2739,0.6030,8.2,46.3,0.9939,0.000,0.000,0.000,29.2,1.170
circle,v3,burst,100,435,43.6,0.1684,1.9092,0.0460,0.0000,7.4,16.4,1.0044,0.603,0.000,0.397,29.6,1.182
circle,fixed20,burst,100,436,56.8,0.7031,2.2834,2.1736,0.4000,8.3,46.5,0.9926,0.000,0.000,0.000,29.6,1.183
circle,v3,burst,100,436,56.4,0.1689,1.9103,0.0436,0.0000,7.6,46.7,2.8564,0.400,0.000,0.600,29.4,1.175
circle,fixed20,burst,100,437,42.2,0.2125,1.9060,0.3355,0.6230,7.9,46.6,0.9965,0.000,0.000,0.000,29.5,1.182
circle,v3,burst,100,437,42.3,0.1701,1.9060,0.0441,0.0000,7.4,16.4,0.9980,0.623,0.000,0.377,29.6,1.185
circle,fixed20,burst,100,438,63.1,0.1797,1.9042,0.2215,0.3000,7.9,46.4,0.9955,0.000,0.000,0.000,29.5,1.179
circle,v3,burst,100,438,62.9,0.1687,1.9042,0.0424,0.0000,7.7,46.5,0.9888,0.300,0.000,0.700,29.4,1.176
circle,fixed20,burst,100,439,69.8,0.1718,1.9162,0.1224,0.2000,7.9,46.7,0.9980,0.000,0.000,0.000,29.6,1.184
circle,v3,burst,100,439,69.7,0.1692,1.9162,0.0402,0.0000,7.8,47.0,1.0026,0.200,0.000,0.800,29.5,1.181
circle,fixed20,burst,100,440,53.9,0.2308,1.9149,0.4536,0.4440,8.3,46.8,0.9901,0.000,0.000,0.000,29.6,1.182
circle,v3,burst,100,440,53.6,0.1694,1.9149,0.0418,0.0000,7.6,46.5,2.8387,0.444,0.000,0.556,29.4,1.177
circle,fixed20,burst,100,441,63.5,0.7504,2.6086,2.3936,0.3000,8.7,46.9,1.0000,0.000,0.000,0.000,29.7,1.187
circle,v3,burst,100,441,63.1,0.1693,1.9171,0.0420,0.0000,7.7,46.6,0.3518,0.300,0.000,0.700,29.5,1.179
circle,fixed20,burst,100,442,44.7,0.2338,1.9156,0.4521,0.5790,8.1,46.7,0.9982,0.000,0.000,0.000,29.3,1.171
circle,v3,burst,100,442,45.3,0.1691,1.9156,0.0430,0.0000,7.4,16.7,0.3553,0.579,0.000,0.421,29.7,1.188
circle,fixed20,burst,100,443,56.5,1.0177,3.5990,2.7778,0.4000,8.5,46.7,0.9931,0.000,0.000,0.000,29.4,1.177
circle,v3,burst,100,443,56.8,0.1682,1.9024,0.0421,0.0000,7.6,46.8,1.0017,0.400,0.000,0.600,29.6,1.184
circle,fixed20,burst,100,444,69.5,0.1824,1.9135,0.2149,0.2000,8.0,46.6,0.9946,0.000,0.000,0.000,29.5,1.178
circle,v3,burst,100,444,69.1,0.1707,1.9135,0.0412,0.0000,7.8,46.7,0.9976,0.200,0.000,0.800,29.3,1.172
fig8,fixed20,burst,40,430,59.5,0.5601,3.2473,1.2238,0.3600,8.0,46.8,0.9949,0.000,0.000,0.000,29.6,1.185
fig8,fixed20,burst,40,431,64.4,0.1028,0.5492,0.2480,0.2800,7.9,46.5,0.9955,0.000,0.000,0.000,29.5,1.179
fig8,fixed20,burst,40,432,74.2,0.0520,0.2562,0.1385,0.1310,7.9,46.5,0.9953,0.000,0.000,0.000,29.6,1.182
fig8,fixed20,burst,40,433,64.0,0.3332,2.0533,0.7759,0.2800,7.9,46.5,0.9990,0.000,0.000,0.000,29.3,1.172
fig8,fixed20,burst,40,434,64.2,0.1770,1.0593,0.2792,0.2800,7.4,46.2,0.9946,0.000,0.000,0.000,29.4,1.177
fig8,fixed20,burst,40,435,58.7,0.0861,0.4525,0.1987,0.3600,7.8,46.3,0.9956,0.000,0.000,0.000,29.2,1.168
fig8,fixed20,burst,40,436,68.4,0.3100,1.9365,0.6164,0.2140,7.9,46.3,0.9970,0.000,0.000,0.000,29.4,1.175
fig8,fixed20,burst,40,437,59.5,0.0969,0.5009,0.2352,0.3600,7.9,46.6,0.9928,0.000,0.000,0.000,29.7,1.186
