traj,method,pattern,blen,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,time_drift,gearL,gearM,gearH,calib_ms,budget_scale
fig8,v3,burst,60,430,52.2,0.0435,0.1390,0.0953,0.0000,7.6,47.0,0.9989,0.480,0.000,0.520,29.9,1.196
fig8,v3,burst,80,430,46.8,0.0461,0.1410,0.1204,0.0000,7.6,16.8,1.0142,0.560,0.000,0.440,29.8,1.193
fig8,v3,burst,120,430,35.8,0.0465,0.1390,0.1158,0.0000,7.6,16.8,0.9959,0.729,0.000,0.271,30.0,1.199
fig8,v3,burst,160,430,35.2,0.0474,0.1390,0.1199,0.0000,7.6,16.9,0.9956,0.741,0.000,0.259,30.1,1.204
fig8,v3,burst,60,431,61.7,0.0339,0.1275,0.0723,0.0000,7.7,47.3,0.3567,0.333,0.000,0.667,29.8,1.193
fig8,v3,burst,80,431,60.2,0.0401,0.1432,0.1074,0.0000,7.7,47.0,0.3572,0.358,0.000,0.642,29.9,1.196
fig8,v3,burst,120,431,57.1,0.0330,0.1452,0.0577,0.0000,7.6,47.1,0.3556,0.401,0.000,0.599,29.8,1.191
fig8,v3,burst,160,431,52.4,0.0336,0.1340,0.0638,0.0000,7.6,46.7,0.3569,0.480,0.000,0.520,30.1,1.203
fig8,v3,burst,60,432,72.3,0.0336,0.1458,0.0649,0.0000,7.7,47.3,1.0024,0.180,0.000,0.820,30.1,1.204
fig8,v3,burst,80,432,68.2,0.0389,0.1458,0.1044,0.0000,7.7,47.1,0.9994,0.240,0.000,0.760,30.0,1.201
fig8,v3,burst,120,432,60.3,0.0443,0.1458,0.1208,0.0000,7.7,47.3,1.0106,0.360,0.000,0.640,30.0,1.201
fig8,v3,burst,160,432,52.5,0.0400,0.1459,0.1079,0.0000,7.6,46.9,2.7905,0.473,0.000,0.527,29.9,1.194
fig8,v3,burst,60,433,55.8,0.0400,0.1407,0.1052,0.0000,7.6,47.0,0.3608,0.420,0.000,0.580,29.8,1.190
fig8,v3,burst,80,433,50.6,0.0415,0.1409,0.1084,0.0000,7.6,17.0,0.3557,0.505,0.000,0.495,30.0,1.199
fig8,v3,burst,120,433,44.6,0.0464,0.1340,0.1185,0.0000,7.6,16.8,0.3562,0.600,0.000,0.400,30.1,1.204
fig8,v3,burst,160,433,41.6,0.0449,0.1396,0.1170,0.0000,7.6,16.9,0.3565,0.643,0.000,0.357,30.0,1.201
fig8,v3,burst,60,434,60.3,0.0321,0.1313,0.0616,0.0000,7.7,47.1,1.0014,0.360,0.000,0.640,30.0,1.202
fig8,v3,burst,80,434,57.6,0.0452,0.1438,0.1170,0.0000,7.6,47.4,1.0083,0.400,0.000,0.600,30.0,1.200
fig8,v3,burst,120,434,52.5,0.0367,0.1341,0.0915,0.0000,7.7,47.2,0.9998,0.482,0.000,0.518,30.2,1.208
fig8,v3,burst,160,434,41.9,0.0486,0.1422,0.1204,0.0000,7.7,16.8,0.9994,0.640,0.000,0.360,30.1,1.203
