# recorded=2026-09-18T18:58:59+0800
# uname=Linux iZ0jl59glej0v8rv680qyqZ 6.8.0-137-generic #137-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 17 20:28:23 UTC 2026 x86_64 x86_64
# python=3.14.7 cpu_count=4
# workers=7 period_s=0.1 beats=1050
beat,wall_ms,cpu_ms,duty,units
0,100.000,46.196,0.46196,32.337
1,102.641,50.250,0.48957,34.270
2,101.000,50.431,0.49931,34.952
3,102.000,51.253,0.50248,35.174
4,100.000,50.593,0.50593,35.415
5,100.000,50.046,0.50046,35.032
6,100.000,49.862,0.49862,34.903
7,100.000,50.280,0.50280,35.196
8,100.000,49.228,0.49228,34.460
9,100.000,50.051,0.50051,35.036
10,100.000,49.899,0.49899,34.929
11,100.000,49.690,0.49690,34.783
12,101.516,50.943,0.50183,35.128
13,102.484,51.733,0.50480,35.336
14,100.000,49.903,0.49903,34.932
15,103.002,50.407,0.48938,34.256
16,100.997,50.684,0.50184,35.129
17,101.000,51.000,0.50495,35.346
18,104.000,51.335,0.49361,34.552
19,101.000,50.701,0.50199,35.140
20,100.000,49.983,0.49983,34.988
21,100.000,49.856,0.49856,34.899
22,102.999,51.975,0.50462,35.323
23,100.000,49.405,0.49405,34.583
24,100.000,50.049,0.50049,35.034
25,101.000,50.681,0.50180,35.126
26,104.000,51.320,0.49346,34.542
27,101.000,51.457,0.50947,35.663
28,100.000,49.907,0.49907,34.935
29,100.000,49.975,0.49975,34.983
30,100.000,50.095,0.50095,35.067
31,100.000,50.253,0.50253,35.177
32,102.000,50.259,0.49274,34.492
33,100.000,50.138,0.50138,35.097
34,100.000,50.095,0.50095,35.067
35,102.999,51.498,0.49999,34.999
36,100.000,50.346,0.50345,35.242
37,100.000,50.212,0.50212,35.148
38,103.000,50.358,0.48891,34.224
39,100.000,50.206,0.50206,35.144
40,100.000,50.568,0.50568,35.398
41,100.000,50.550,0.50550,35.385
42,103.001,49.847,0.48395,33.876
43,100.000,50.710,0.50710,35.497
44,100.000,51.254,0.51254,35.878
45,100.001,48.730,0.48730,34.111
46,101.998,49.952,0.48973,34.281
47,102.001,51.721,0.50707,35.495
48,102.999,51.129,0.49641,34.748
49,102.000,51.586,0.50574,35.402
50,100.000,50.754,0.50754,35.528
51,100.000,49.927,0.49927,34.949
52,100.000,49.067,0.49067,34.347
53,103.000,51.271,0.49777,34.844
54,100.000,50.134,0.50134,35.094
55,102.999,51.316,0.49822,34.875
56,100.000,51.099,0.51099,35.769
57,100.000,49.632,0.49632,34.742
58,100.000,49.911,0.49911,34.938
59,103.000,50.271,0.48806,34.164
60,100.000,51.091,0.51091,35.764
61,100.000,49.709,0.49709,34.796
62,100.227,50.288,0.50174,35.122
63,100.055,49.750,0.49722,34.806
64,100.000,50.312,0.50312,35.219
65,100.114,50.020,0.49963,34.974
66,100.000,49.357,0.49357,34.550
67,101.604,51.342,0.50531,35.372
68,100.000,49.496,0.49496,34.647
69,101.000,50.140,0.49644,34.751
70,100.000,49.871,0.49871,34.910
71,101.000,51.523,0.51013,35.709
72,102.001,49.986,0.49006,34.304
73,100.000,50.075,0.50075,35.052
74,100.000,51.368,0.51368,35.958
75,100.574,49.479,0.49197,34.438
76,100.000,50.646,0.50646,35.452
77,100.000,49.840,0.49840,34.888
78,103.426,50.080,0.48422,33.895
79,100.001,50.073,0.50073,35.051
80,101.999,51.510,0.50500,35.350
81,100.000,50.070,0.50070,35.049
82,100.000,49.921,0.49921,34.945
83,100.936,50.645,0.50176,35.123
84,100.063,50.104,0.50072,35.051
85,100.000,49.970,0.49970,34.979
86,101.000,49.372,0.48883,34.218
87,101.000,51.335,0.50827,35.579
88,100.000,50.427,0.50427,35.299
89,102.000,49.788,0.48812,34.169
90,100.000,51.106,0.51106,35.775
91,100.000,50.158,0.50158,35.111
92,100.000,49.816,0.49816,34.871
93,100.000,48.848,0.48848,34.193
94,100.000,50.651,0.50651,35.456
95,100.000,49.666,0.49666,34.766
96,102.000,51.594,0.50583,35.408
97,101.000,50.496,0.49996,34.997
98,103.000,50.934,0.49451,34.615
99,101.000,50.268,0.49770,34.839
100,100.000,50.850,0.50850,35.595
101,100.000,49.440,0.49440,34.608
102,100.000,49.901,0.49901,34.931
103,100.002,50.642,0.50641,35.449
104,100.997,50.458,0.49960,34.972
105,100.000,50.091,0.50091,35.064
106,101.000,50.175,0.49679,34.775
107,100.000,49.615,0.49615,34.730
108,102.000,50.781,0.49786,34.850
109,100.762,51.017,0.50632,35.442
110,100.000,50.175,0.50175,35.122
111,100.000,49.968,0.49968,34.978
112,102.237,50.135,0.49038,34.326
113,103.004,51.339,0.49842,34.889
114,100.000,49.929,0.49929,34.950
115,100.000,49.963,0.49963,34.974
116,100.000,51.177,0.51177,35.824
117,102.996,50.235,0.48774,34.142
118,103.000,52.271,0.50749,35.524
119,100.000,51.039,0.51039,35.727
